market_segment,channel_used,campaign_type,impressions,clicks,conversion_rate,roi,acquisition_cost
Health & Wellness,Google Ads,Email,1922,506,0.0,0.063,16174
Fashionistas,Google Ads,Email,7523,116,0.001,0.056,11566
Outdoor Adventurers,YouTube,Influencer,7698,584,0.001,0.072,10200
Health & Wellness,YouTube,Display,1820,217,0.001,0.056,12724
Health & Wellness,YouTube,Email,4201,379,0.0,0.065,16452
Foodies,Instagram,Display,1643,100,0.001,0.044,9716
Tech Enthusiasts,Website,Email,8749,817,0.001,0.029,11067
Outdoor Adventurers,Google Ads,Search,7854,624,0.001,0.056,13280
Tech Enthusiasts,Facebook,Social Media,1754,861,0.001,0.067,18066
Tech Enthusiasts,Instagram,Email,3856,642,0.001,0.038,13766
Tech Enthusiasts,Email,Display,6628,321,0.001,0.035,8590
Foodies,Google Ads,Influencer,8948,659,0.0,0.036,17502
Tech Enthusiasts,Facebook,Social Media,8817,677,0.001,0.049,17189
Health & Wellness,Instagram,Email,2201,994,0.001,0.071,9975
Outdoor Adventurers,Website,Display,8470,482,0.0,0.053,11346
Health & Wellness,YouTube,Social Media,1512,299,0.001,0.029,9407
Fashionistas,Website,Display,2488,931,0.001,0.045,5478
Health & Wellness,Instagram,Influencer,9264,218,0.001,0.045,9485
Foodies,Google Ads,Social Media,5798,182,0.001,0.061,19224
Tech Enthusiasts,Google Ads,Influencer,3677,193,0.001,0.038,10258
Outdoor Adventurers,Email,Search,1561,975,0.0,0.08,16580
Foodies,Facebook,Influencer,8586,319,0.0,0.062,12824
Health & Wellness,YouTube,Social Media,3841,646,0.001,0.021,8699
Health & Wellness,Facebook,Email,2157,764,0.0,0.073,17608
Fashionistas,YouTube,Social Media,1733,527,0.001,0.06,8773
Health & Wellness,Instagram,Search,8236,809,0.0,0.062,14756
Fashionistas,Facebook,Email,6916,953,0.001,0.06,9182
Foodies,YouTube,Email,2420,604,0.001,0.033,6601
Tech Enthusiasts,Email,Influencer,7620,384,0.001,0.071,11552
Tech Enthusiasts,Email,Social Media,4055,952,0.001,0.036,11608
Tech Enthusiasts,Instagram,Search,4837,512,0.001,0.028,13124
Foodies,YouTube,Influencer,2885,309,0.001,0.068,13245
Foodies,Email,Display,3218,367,0.001,0.044,5796
Health & Wellness,Google Ads,Influencer,5724,243,0.001,0.027,15082
Fashionistas,YouTube,Influencer,5349,360,0.001,0.078,18332
Health & Wellness,Instagram,Display,7373,250,0.001,0.025,13256
Foodies,Email,Display,7152,822,0.0,0.072,15779
Tech Enthusiasts,Facebook,Influencer,9772,833,0.001,0.026,7683
Tech Enthusiasts,Instagram,Search,9473,663,0.001,0.022,14742
Fashionistas,Google Ads,Search,5495,268,0.001,0.07,15495
Foodies,Website,Social Media,4718,212,0.0,0.046,18684
Foodies,Email,Search,2776,360,0.0,0.034,13096
Fashionistas,Instagram,Display,8637,598,0.001,0.056,7818
Fashionistas,Instagram,Display,1612,988,0.001,0.048,8214
Tech Enthusiasts,Google Ads,Email,8038,282,0.0,0.033,6882
Health & Wellness,Google Ads,Display,8036,992,0.0,0.068,13470
Foodies,YouTube,Search,3940,903,0.001,0.074,14948
Health & Wellness,Instagram,Social Media,1824,629,0.0,0.038,15255
Tech Enthusiasts,Facebook,Display,2071,190,0.001,0.052,9510
Tech Enthusiasts,Email,Social Media,7377,150,0.001,0.04,7521
Foodies,Facebook,Search,8463,134,0.001,0.058,10405
Foodies,Website,Search,9831,657,0.001,0.065,15955
Tech Enthusiasts,Facebook,Email,4937,385,0.001,0.076,15428
Outdoor Adventurers,YouTube,Display,4739,537,0.0,0.034,19832
Foodies,YouTube,Social Media,6012,450,0.0,0.062,17375
Health & Wellness,Website,Display,8529,178,0.001,0.037,8903
Foodies,Website,Email,2122,164,0.0,0.067,14511
Fashionistas,Email,Email,1850,569,0.001,0.027,17305
Foodies,Email,Email,6920,330,0.0,0.049,18063
Health & Wellness,Email,Display,3421,256,0.0,0.068,10293
Fashionistas,Email,Email,9217,849,0.0,0.023,8785
Tech Enthusiasts,Email,Email,1958,261,0.001,0.053,13848
Foodies,Email,Influencer,3596,592,0.0,0.07,14435
Outdoor Adventurers,Facebook,Search,8702,201,0.0,0.037,14001
Fashionistas,Website,Display,9122,648,0.001,0.074,8841
Health & Wellness,YouTube,Search,5048,187,0.0,0.073,11366
Foodies,YouTube,Display,5569,839,0.001,0.063,12910
Tech Enthusiasts,YouTube,Search,2512,240,0.001,0.027,7823
Tech Enthusiasts,Facebook,Display,9973,932,0.0,0.08,11864
Foodies,Facebook,Email,2836,694,0.001,0.047,17414
Tech Enthusiasts,Website,Search,6745,202,0.001,0.056,18201
Health & Wellness,Email,Social Media,9187,416,0.0,0.056,9549
Health & Wellness,YouTube,Social Media,9999,576,0.001,0.075,16635
Foodies,Facebook,Influencer,3687,300,0.001,0.056,9310
Health & Wellness,YouTube,Display,4238,776,0.001,0.067,5158
Fashionistas,Instagram,Search,7364,492,0.0,0.02,15182
Foodies,Google Ads,Display,8501,763,0.001,0.032,5703
Health & Wellness,Google Ads,Search,7892,817,0.0,0.048,12008
Outdoor Adventurers,Google Ads,Display,3594,791,0.001,0.077,15850
Fashionistas,Email,Influencer,9941,737,0.001,0.066,9813
Outdoor Adventurers,Google Ads,Influencer,3643,159,0.001,0.076,19300
Foodies,YouTube,Social Media,1921,913,0.001,0.063,17772
Outdoor Adventurers,Facebook,Influencer,8969,238,0.001,0.037,17293
Health & Wellness,YouTube,Search,3108,134,0.001,0.04,8398
Health & Wellness,Email,Influencer,2139,159,0.002,0.023,15866
Foodies,YouTube,Social Media,8489,635,0.001,0.074,7515
Fashionistas,YouTube,Email,2573,187,0.002,0.022,19026
Outdoor Adventurers,Facebook,Search,3042,537,0.001,0.079,8280
Tech Enthusiasts,Google Ads,Display,8117,597,0.001,0.044,18251
Tech Enthusiasts,Instagram,Display,3839,550,0.001,0.02,13108
Foodies,YouTube,Influencer,9087,956,0.001,0.07,15477
Outdoor Adventurers,Email,Email,9545,628,0.001,0.07,17705
Fashionistas,Instagram,Display,7879,938,0.0,0.026,18470
Health & Wellness,Instagram,Display,6497,147,0.0,0.072,14438
Foodies,Facebook,Search,4289,776,0.001,0.049,6278
Tech Enthusiasts,Email,Social Media,9532,108,0.001,0.046,5185
Health & Wellness,Instagram,Email,6079,395,0.001,0.037,18799
Fashionistas,Facebook,Search,4484,419,0.0,0.08,7365
Foodies,Instagram,Search,6061,463,0.0,0.031,6565
Tech Enthusiasts,Facebook,Display,2572,521,0.001,0.056,9022
Foodies,YouTube,Search,8715,706,0.001,0.049,18735
Tech Enthusiasts,YouTube,Search,8334,207,0.001,0.045,9941
Health & Wellness,Website,Influencer,1005,583,0.001,0.069,10113
Tech Enthusiasts,Facebook,Social Media,6841,864,0.001,0.072,8310
Health & Wellness,Google Ads,Influencer,8035,387,0.001,0.022,15073
Fashionistas,Email,Social Media,3439,560,0.001,0.034,7541
Health & Wellness,Google Ads,Influencer,1560,306,0.001,0.065,14875
Outdoor Adventurers,Email,Email,4550,740,0.001,0.073,5514
Fashionistas,Instagram,Search,1475,115,0.0,0.048,15107
Fashionistas,YouTube,Social Media,3843,366,0.001,0.064,13712
